Slim Shady
210

C4 N

D4# N

G4 N

G4# N

C5 N





G4# N

G4 N





G4# N

G4 N

G4# C
G4 N

F4 N

G4 N

B3 N

C4 N

D4# N

G4 N

G4# N

C5 N





G4# N

G4 N





G4# N

G4 N

G4# C
G4 N

F4 N

G4 N

B3# N

C4 N

D4# N

G4 N

G4# N

C5 N





G4# N

G4 N





G4# N

G4 N

G4# C
G4 N

F4 N

G4 N

B3 N

C4 N

D4# N

G4 N

G4# N

C5 N





G4# N

G4 N





G4# N

G4 N

G4# C
G4 N

F4 N

G4 N

B3# N

C4 N

D4# N

G4 N

G4# N

C5 N





G4# N

G4 N





G4# N

G4 N

G4# C
G4 N

F4 N

G4 N

B3 N

C4 N

D4# N

G4 N

G4# N

C5 N





G4# N

G4 N





G4# N

G4 N

G4# C
G4 N

F4 N

G4 N

B3# N

